engine,rel,note,out_fmt,quality,long_edge,repeat,ok,inner_s,outer_s,peak_rss_kb,rss_over_import_kb,out_bytes,out_w,out_h,src_fmt,src_mode,src_w,src_h,src_mp,src_bytes,src_icc,src_exif_orient,err
pillow_draft,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,0,1,1.9559,1.96447,376248,350884,133146,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow_draft,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,1,1,1.94758,1.9561,376248,350884,133146,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow_draft,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,2,1,1.95134,1.96004,376248,350884,133146,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,0,1,1.06341,1.06827,332508,307144,108299,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,1,1,1.06325,1.06843,326988,301624,108299,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,2,1,1.03649,1.04113,330248,304884,108299,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_c1,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,0,1,1.02,1.02507,353248,327884,108299,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_c1,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,1,1,1.01501,1.02018,306648,281284,108299,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_c1,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,2,1,1.02802,1.03248,312452,287088,108299,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_tuned,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,0,1,1.02194,1.02696,327932,302568,108227,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_tuned,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,1,1,1.03605,1.04117,328048,302684,108227,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_tuned,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,2,1,1.04056,1.04955,351236,325872,108227,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
ffmpeg,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,0,1,1.45981,1.46142,265880,240516,131571,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
ffmpeg,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,1,1,1.45357,1.45502,266084,240720,131571,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
ffmpeg,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",jpeg,85,2400,2,1,1.44856,1.45001,266004,240640,131571,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,0,1,2.17654,2.18445,376248,350892,71822,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,1,1,2.16805,2.17605,376248,350892,71822,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,2,1,2.20709,2.21494,376248,350892,71822,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow_draft,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,0,1,2.1898,2.19822,376168,350804,71822,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow_draft,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,1,1,2.16667,2.17455,376248,350884,71822,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pillow_draft,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,2,1,2.17266,2.18032,376248,350884,71822,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,0,1,1.24353,1.24959,377480,352116,85576,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,1,1,1.25082,1.25868,393020,367656,85576,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,2,1,1.25313,1.25903,373612,348248,85576,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_c1,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,0,1,1.24292,1.24875,377496,352132,85576,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_c1,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,1,1,1.26334,1.27034,520352,494988,85576,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_c1,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,2,1,1.2349,1.24025,347804,322440,85576,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_tuned,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,0,1,1.26081,1.26603,338236,312872,78876,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_tuned,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,1,1,1.25239,1.25856,429480,404116,78876,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
pyvips_tuned,public/files/Toplu resim-Kapaklı-Desenli-3.png,"PNG RGBA 36,3 MP + ICC — alfa, ICC, yüksek MP",webp,80,2400,2,1,1.27515,1.2815,375956,350592,78876,2400,1477,PNG,RGBA,7677,4724,36.266,11414055,1,1,
